timestamp,cpu_usage,memory_usage,predicted_cpu_usage
2025-03-27 21:11:43.632492,9.00,41.00,8.79
2025-03-27 21:11:49.072603,9.00,40.90,8.86
2025-03-27 21:11:54.496497,8.10,40.90,8.71
2025-03-27 21:11:59.945905,10.00,40.90,8.62
2025-03-27 21:12:05.430878,7.30,40.90,8.55
2025-03-27 21:12:10.884935,8.60,40.90,8.73
2025-03-27 21:12:16.336461,8.80,40.90,8.51
2025-03-27 21:12:21.789049,9.60,40.90,8.71
2025-03-27 21:12:27.240568,12.60,41.00,8.77
2025-03-27 21:12:32.695801,9.00,41.00,9.02
2025-03-27 21:12:38.136416,10.60,40.70,9.03
2025-03-27 21:12:43.585905,9.50,40.70,9.34
2025-03-27 21:12:49.050079,8.90,40.70,9.82
2025-03-27 21:12:54.523714,9.60,40.70,9.65
2025-03-27 21:13:00.022771,55.00,41.70,10.63
2025-03-27 21:13:06.411857,80.90,41.70,12.69
2025-03-27 21:13:12.105654,56.20,42.30,18.28
2025-03-27 21:13:18.039117,67.60,42.90,25.28
2025-03-27 21:13:23.687676,48.70,43.20,33.94
2025-03-27 21:13:29.453290,34.70,43.40,44.91
2025-03-27 21:13:35.026670,41.20,42.90,53.75
2025-03-27 21:13:41.089434,39.90,42.80,61.95
2025-03-27 21:13:46.776670,43.10,43.10,66.84
2025-03-27 21:13:52.573559,48.20,43.30,65.08
2025-03-27 21:13:58.245419,42.70,43.50,47.63
2025-03-27 21:14:04.011061,43.40,43.60,36.52
2025-03-27 21:14:09.714175,42.30,43.90,39.67
2025-03-27 21:14:15.339176,30.60,44.10,35.39
2025-03-27 21:14:20.932924,32.90,44.40,40.57
2025-03-27 21:14:26.526677,34.50,44.50,43.90
2025-03-27 21:14:32.089177,30.90,44.70,41.14
2025-03-27 21:14:37.682931,29.20,45.00,39.54
2025-03-27 21:14:43.245423,32.00,45.20,35.88
2025-03-27 21:14:48.886049,35.80,45.50,31.95
2025-03-27 21:14:54.651669,51.30,44.20,31.34
2025-03-27 21:15:00.245425,31.10,44.10,30.62
2025-03-27 21:15:05.839177,20.40,45.00,31.45
2025-03-27 21:15:11.401677,23.20,46.60,34.65
2025-03-27 21:15:16.964169,17.10,47.30,33.52
2025-03-27 21:15:22.823589,16.70,47.20,32.06
2025-03-27 21:15:30.667294,14.50,47.00,31.29
2025-03-27 21:15:36.261301,26.00,47.50,28.73
2025-03-27 21:15:41.839180,20.70,48.10,24.18
2025-03-27 21:15:47.308068,20.40,48.20,18.50
2025-03-27 21:15:52.776681,21.90,48.20,11.72
2025-03-27 21:15:58.276711,27.70,53.00,16.53
2025-03-27 21:16:03.884049,40.50,50.70,19.73
2025-03-27 21:16:09.691905,79.90,48.20,20.93
2025-03-27 21:16:15.743477,58.10,46.40,27.60
2025-03-27 21:16:21.525077,45.00,46.70,34.07
2025-03-27 21:16:28.018793,99.60,48.60,40.61
2025-03-27 21:16:34.558729,81.40,49.80,46.58
2025-03-27 21:16:43.925565,100.00,53.40,58.55
2025-03-27 21:16:52.041125,99.70,54.70,70.49
2025-03-27 21:16:58.458034,94.50,56.50,81.75
